Factory_Name,Category,Product_Type,Brand,Empty,Parent_Group,Address,City,State,Zip,Country,Region,Workers,Female_Workers,Line_Workers,Migrant_Workers
"Fjord, Ltd.",FINISHED GOODS,Apparel,Nike,,TEGRA,3099 N Pacific Highway Suite 100,Woodburn,Oregon,97071,USA,AMERICAS,114,98,89,0
"KKN Apparel Co.,ltd",FINISHED GOODS,Apparel,Nike,Collegiate,NICE APPAREL,KKSEZ Neangkok Paklong Commune  Modulsiem Koh Kong  Cambodia,Koh Kong,Kaoh Kong,09401,Cambodia,SE ASIA,6722,5979,1,0
Top Summit Garment Inc,FINISHED GOODS,Apparel,Nike,Collegiate,SABRINA,National Rd No 4,Kandal,Kandaal,315000,Cambodia,SE ASIA,6030,4229,95,0
COOPERSHOES-COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTDA (Morada Nova).,FINISHED GOODS,Footwear,Converse,,COOPERSHOES,Avenida Vereador Paulo Rabelo de Brito 2065,Morada Nova,Ceará,62.942-552,Brazil,AMERICAS,3539,2688,57,0
"HESHENG CO., LTD.",FINISHED GOODS,Equipment,Nike,Collegiate,HESHENG,Lot G14 Que Vo Industrial Park expansion,Bac Ninh,Bc Ninh,16852,Vietnam,SE ASIA,62,58,59,3
"Hi-Tech Viet Nam Apparel Co.,Ltd.",FINISHED GOODS,Apparel,Nike,,HI TECH,"Block A3.2, Tay An Industrial Zone, Duy Trung Commune",Duy Xuyen District,Qung Nam,560000,Vietnam,SE ASIA,1692,1677,82,0
"SHCA GARMENT (CAMBODIA) CO., LTD",FINISHED GOODS,Apparel,Nike,,SHCA GARMENT,Prey Sala Village Roleang Kreul Commune,Samraong Tong ,Kampong Spueu,050106,Cambodia,SE ASIA,543,523,55,2
B'LAO SPORT COMPANY LIMITED,FINISHED GOODS,Apparel,Nike,,BLAO SPORT,Lot CN 37B Zone C Phong Dien Industrial Zone Phong Dien Ward,Hue,Tha Thiên-Hu,530000,Vietnam,SE ASIA,445,397,76,0
YSA  MOL,FINISHED GOODS,Apparel,Nike,,YESIM,STR CEBANOV 3a,TARAKLIA,Gagauzia-- Unitate,7402,Moldova,EMEA,392,313,96,0
"Long Fa Shoes Industrial Huizhou Co., Ltd.",FINISHED GOODS,Footwear,Nike,,DEAN SHOES,"LONGTING INDUS. PARK, LONGXI TOWN, BOLUO COUNTY",Huizhou,Guangdong,516121,China,N ASIA,5317,4011,65,0
C.C. Creations,FINISHED GOODS,Apparel,Nike,Collegiate,CC CREATIONS,619 Capitol Pkwy,Bryan,Texas,77807,USA,AMERICAS,282,243,67,0
TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT,FINISHED GOODS,Apparel,Nike,,TNG,Ngoi Cheo Hamlet Nam Hoa Commune ,Thai Nguyen City,Thái Nguyên,25000,Vietnam,SE ASIA,1431,1290,80,0
PT.BERKAH KARYA JAYA SENTOSA,FINISHED GOODS,Apparel,Nike,Collegiate,PT.BERKAH KARYA,KIC Gatot Subroto St block 8F no 07 Ngaliyan,Semarang,Jawa Tengah,50181,Indonesia,S ASIA,132,105,43,0
"Nan Yang Garment Co., Ltd.",FINISHED GOODS,Apparel,Nike,,NAN YANG,99 1 Moo 4 Banna,Wachirabaramee,Phichit,66140,Thailand,SE ASIA,2463,2120,80,18
ELITE APPARATECH LLC,FINISHED GOODS,Apparel,Nike,,ELITE APPARATECH,Street No 5 Long Khanh Industrial Zone,Long Khanh City,Ðng Nai,76000,Vietnam,SE ASIA,1003,779,75,0
PT. Formosa Bag Indonesia,FINISHED GOODS,Equipment,Nike,,FORMOSA,Jl Raya Semarang Puwodadi Km 26 Gebangan Tegowanu,Grobogan,Jawa Tengah,58165,Indonesia,S ASIA,5865,5191,87,1
"SNP CO.,LTD.",FINISHED GOODS,Apparel,Nike,,SPORTS CITY,"11F., No.585, Ruiguang Rd.",Taipei City,Bình Duong,11492,Vietnam,SE ASIA,2780,2456,90,0
"K-L MFG. CO., INC.",FINISHED GOODS,Apparel,Nike,Collegiate,K&L MANUFACTURING,2438 North Ruby Street,Spokane,Washington,99207,USA,AMERICAS,98,92,68,0
"Dongguan Stella Footwear Product Creation Co., LTD.",FINISHED GOODS,Footwear,Nike,Collegiate,STELLA,Hou Da Road Da Ling Management District,Dongguan,Guangdong,523835,China,N ASIA,457,290,53,0
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,FINISHED GOODS,Apparel,Nike,Collegiate,MAXPORT,No 361 Nguyen Van Troi,Nam Dinh,Nam Ðnh,42000,Vietnam,SE ASIA,443,408,88,0
"Haiyan Golden Gate Socks Industry Co., Ltd",FINISHED GOODS,Equipment,Nike,,HAIYAN,No 15 Zhangqiao Village,Haiyan,Zhejiang,314300,China,N ASIA,70,52,88,0
