Vendor,Category,Product_Type,Brand,Empty,Parent_Group,Address,Site_Location,State,Zip,Country,Region,Headcount,Female_Workers,Line_Workers,Migrant_Workers
"KURIM VIETNAM CO., LTD",MATERIALS,Footwear,Nike,,KURIM,LOT C2 5,Binh Duong,Bình Duong,75100,Vietnam,SE ASIA,386,286,60,0
FORMOSA TING SHO ENT CO LTD (TAIWAN),MATERIALS,Footwear,Nike,,FORMOSA TING SHO,NO 37 SEC 2 ZHONGSHAN RD DACUN,Changhua,Changhua,515,Taiwan,N ASIA,75,20,50,55
SADESA THAILAND Sena,MATERIALS,Footwear,Nike,,SADESA,89 Moo 11 Samkok sena Road,Ayutthaya,Phra Nakhon Si Ayu,13110,Thailand,SE ASIA,574,401,0,0
MAS FABRICS (PRIVATE) LIMITED – INTIMO DIVISION,MATERIALS,Apparel,Nike,,MAS HOLDINGS,MAS Fabric Park,Thulhiriya,Kurunegala,71610,Sri Lanka,S ASIA,1271,1188,15,0
TEIJIN CORDLEY LTD (TAIWAN OKAHATA CO LTD) (JAPAN),MATERIALS,Footwear,Nike,,TEIJIN CORDLEY,1 446 NAGAHISA NAGAHISA CHO OHDA,Shimane,Simane,693-0007,Japan,N ASIA,183,160,31,0
"ENPING E-MART ENTERPRISE CO., LTD.,",MATERIALS,Footwear,Nike,,COSMOPOLITAN TEXTILE,Liu Jia Song Industrial Park Dahuai Town,Enping City,Guangdong,529467,China,N ASIA,116,92,23,0
Chang Tai Song Lin Woven Belt Co. LTD,MATERIALS,Apparel,Nike,,CHI YANG RIBBON,Xin Tai Industrial Zone,Zhang Zhou,Fujian,363900,China,N ASIA,115,102,86,0
SHAN BEEN JEOU INDUSTRIAL CO LTD (TAIWAN),MATERIALS,Footwear,Nike,,SHAN BEEN,NO 60 LANE 132 SHA TIAN ROAD SECTION 2 DA DU DISTRICT,Taichung,Taichung,43244,Taiwan,N ASIA,91,66,32,36
"YKK VIETNAM CO., LTD",MATERIALS,Apparel,Nike,,YKK,Lot 10 N2 Road Nhon Trach III Industrial Zone  Phase 2,Nhon Trach,Ðng Nai,810000,Vietnam,SE ASIA,2059,1892,35,0
Skytex Mexico S.A de C.V.,MATERIALS,Apparel,Nike,,SABRINA,Calle Parque Industrial Manzana J y K,Huejotzingo,Puebla,74160,Mexico,AMERICAS,1600,1400,40,0
BAIKSAN (CHINA),MATERIALS,Footwear,Nike,,BAIKSAN,No 1 Zhenxing Road,Dongguan,Guangdong,523950,China,N ASIA,184,143,69,0
TKG ECO MATERIAL SYNTHETIC (VIETNAM),MATERIALS,Footwear,Nike,,TKG ECO MATERIAL,Lot 45 18 02 Road N14 Phuoc Dong Industrial Park,Tay Ninh,Tây Ninh,840000,Vietnam,SE ASIA,502,383,29,0
GB LIGHT CO LTD,MATERIALS,Footwear,Nike,,GB LIGHT,22 Beombang 3ro 30beon gil,Gangseo Gu,Busan Gwangyeogsi,46727,South Korea,N ASIA,109,38,0,0
SHINTA WOOSUNG PT (INDONESIA),MATERIALS,Footwear,Nike,,SHINTA WOOSUNG,JL RAYA KOPO MAJA KM 1,Serang,Banten,42100,Indonesia,S ASIA,246,198,52,13
"JOOWON VINA CO., LTD.",MATERIALS,Footwear,Nike,,JOOWON TECH,Road 8 Nhon Trach 1 Industrial Zone,NHON TRACH DISTRICT,Ðng Nai,810000,Vietnam,SE ASIA,350,292,48,0
SPRINGFEEL POLYURETHANE FOAMS PVT LTD,MATERIALS,Footwear,Nike,,SPRINGFEEL POLYURETHANE,51 2A KELAMBAKKAM VANDALUR ROAD,Kelambakkam,Tamil Nadu,603103,India,S ASIA,291,246,0,0
ORTHOLITE VIETNAM CO LTD (VIETNAM),MATERIALS,Footwear,Nike,,ORTHOLITE,"VSIP Branch Lot No 137-138-139, No.7",Binh Duong,Bình Duong,0000,Vietnam,SE ASIA,1009,886,57,0
"SeoHeung Co., Ltd. (3D Printer Center)",MATERIALS,Footwear,Nike,,SEOHEUNG,87 JangnimBeonyeong ro,Busan,Busan Gwangyeogsi,49464,South Korea,N ASIA,48,1,0,0
Tiong Liong Vietnam (VIETNAM ZHONGJU INDUSTRIAL COMPANY LIMITED),MATERIALS,Footwear,Nike,,TIONG LIONG GROUP,Lot B 2A CN,Ho Chi Minh City,Ho Chi Minh,75700,Vietnam,SE ASIA,247,70,29,33
MAXIM LABEL & PACKAGING (INDIA) PVT LTD,MATERIALS,Apparel,Nike,,MAXIM,No 54 KIADB High tech Defense and Aerospace Park,Bangalore,Karnataka,560149,India,S ASIA,106,54,43,0
Trischel Fabric (PVT) Ltd,MATERIALS,Apparel,Nike,,MAS HOLDINGS,MAS Fabric Park  Kurunegala Road,Thulhiriya,Kurunegala,71610,Sri Lanka,S ASIA,1072,865,5,2
STRETCHLINE,MATERIALS,Apparel,Nike,,STRETCHLINE,Lot 89 Biyagama Export Processing Zone Walgama Malwana,Malwana,Gampaha,11670,Sri Lanka,S ASIA,2560,1508,12,0
"JOV GARMENT ACCESSORIAL MATERIAL CO., LTD",MATERIALS,Apparel,Nike,,JOV GARMENT ACCESSORIAL MATERIAL,No 226 Pengfeng Road Dakun Industrial Zone,Songjiang,Shanghai,201600,China,N ASIA,111,54,65,0
"Summitex Enterprise Co., Ltd",MATERIALS,Equipment,Nike,,YAW LIAMY,NO11 CHUANG HSING ROAD CHIA TAI INDUSTRIAL DISTRIC,Tai Pao City,Chiayi,612,Taiwan,N ASIA,133,92,9,66
SHAHI EXPORTS PVT LTD,MATERIALS,Apparel,Nike,,SHAHI,SY NO 156 KIADB INDUSTRIAL AREA,SHIVAMOGGGA,Karnataka,577222,India,S ASIA,1711,1300,47,0
ISA INDUSTRIAL CO LTD (HESHAN) (CHINA),MATERIALS,Footwear,Nike,,ISA,No  1 Xingli Road Hecheng Town,Heshan,Guangdong,529727,China,N ASIA,550,460,7,0
"DONGJIN TEXTILE VINA Co., Ltd ",MATERIALS,Footwear,Nike,,DONGJIN,Lot D 8 1 Road No 2,Dong Nai Province,Ðng Nai,76000,Vietnam,SE ASIA,361,300,8,7
PAIHO (VIETNAM),MATERIALS,Footwear,Nike,,PAIHO GROUP,Lot 30 32 34 No3 Road Tan Tao Industrial Park,Ho Chi Minh City,Ho Chi Minh,71909,Vietnam,SE ASIA,3371,2781,52,0
PRIME ASIA (CHINA),MATERIALS,Footwear,Nike,,PRIME ASIA,YUE YUEN INDUSTRIAL PARK,"Dongguan,Guangdong",Guangdong,511700,China,N ASIA,878,588,0,0
BAIKSAN (VIETNAM),MATERIALS,Footwear,Nike,,BAIKSAN,NO 50 ROAD 3 VSIP II HOA PHU PRECINCT,Binh Duong,Bình Duong,840000,Vietnam,SE ASIA,343,329,11,0
