Org_Name,Region_Code,Parent_Group,Audit_Sector,Compliance_Status
"Fjord, Ltd.",USA,TEGRA,FINISHED GOODS,Pass
"KURIM VIETNAM CO., LTD",Vietnam,KURIM,MATERIALS,Pass
"KKN Apparel Co.,ltd",Cambodia,NICE APPAREL,FINISHED GOODS,Pass
Top Summit Garment Inc,Cambodia,SABRINA,FINISHED GOODS,Pass
COOPERSHOES-COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTDA (Morada Nova).,Brazil,COOPERSHOES,FINISHED GOODS,Pass
"HESHENG CO., LTD.",Vietnam,HESHENG,FINISHED GOODS,Pass
"Hi-Tech Viet Nam Apparel Co.,Ltd.",Vietnam,HI TECH,FINISHED GOODS,Pass
"SHCA GARMENT (CAMBODIA) CO., LTD",Cambodia,SHCA GARMENT,FINISHED GOODS,Pass
"Longchuan Somona Footwear Co.,Ltd Wuhua Branch",China,STELLA,FINISHED GOODS - COMPONENTS,Pass
FORMOSA TING SHO ENT CO LTD (TAIWAN),Taiwan,FORMOSA TING SHO,MATERIALS,Pass
B'LAO SPORT COMPANY LIMITED,Vietnam,BLAO SPORT,FINISHED GOODS,Pass
SADESA THAILAND Sena,Thailand,SADESA,MATERIALS,Pass
YSA  MOL,Moldova,YESIM,FINISHED GOODS,Pass
"Long Fa Shoes Industrial Huizhou Co., Ltd.",China,DEAN SHOES,FINISHED GOODS,Pass
C.C. Creations,USA,CC CREATIONS,FINISHED GOODS,Pass
TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT,Vietnam,TNG,FINISHED GOODS,Pass
PT.BERKAH KARYA JAYA SENTOSA,Indonesia,PT.BERKAH KARYA,FINISHED GOODS,Pass
DONGJIN TEXTILE DYEING HOUSE,South Korea,DONGJIN,FINISHED GOODS - COMPONENTS,Pass
"Nan Yang Garment Co., Ltd.",Thailand,NAN YANG,FINISHED GOODS,Pass
ELITE APPARATECH LLC,Vietnam,ELITE APPARATECH,FINISHED GOODS,Pass
PT. Formosa Bag Indonesia,Indonesia,FORMOSA,FINISHED GOODS,Pass
"SNP CO.,LTD.",Vietnam,SPORTS CITY,FINISHED GOODS,Pass
"K-L MFG. CO., INC.",USA,K&L MANUFACTURING,FINISHED GOODS,Pass
"Dongguan Stella Footwear Product Creation Co., LTD.",China,STELLA,FINISHED GOODS,Pass
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,Vietnam,MAXPORT,FINISHED GOODS,Pass
"Haiyan Golden Gate Socks Industry Co., Ltd",China,HAIYAN,FINISHED GOODS,Pass
Blue Star Graphics,USA,BLUE STAR,FINISHED GOODS,Pass
Germton Development Company Limited,Vietnam,GERMTON DEVELOPMENT,FINISHED GOODS,Pass
"SHAHI EXPORTS PVT LTD, UNIT 37",India,SHAHI,FINISHED GOODS,Pass
PT. POU YUEN INDONESIA,Indonesia,POU CHEN,FINISHED GOODS,Pass
PT. Glorystar Wisesa,Indonesia,GLORYSTAR WISESA,FINISHED GOODS,Pass
Bharath (INDIA),India,BHARATH,FINISHED GOODS - COMPONENTS,Pass
Long Chuan Simona Footwear Co. Ltd,China,STELLA,FINISHED GOODS,Pass
Cassia Garment Company Limited,Thailand,RAMATEX,FINISHED GOODS,Pass
Iruna Comunicacion Textil - SERISUR,Spain,IRUNA,FINISHED GOODS,Pass
Minone Enterprises Co Ltd,Thailand,MINONE,FINISHED GOODS,Pass
MAS FABRICS (PRIVATE) LIMITED – INTIMO DIVISION,Sri Lanka,MAS HOLDINGS,MATERIALS,Pass
