fuel_type,heat_content_mmbtu_per_short_ton,co2_kg_per_mmbtu,ch4_g_per_mmbtu,n2o_g_per_mmbtu,co2_kg_per_short_ton
Anthracite,25.09,103.69,11.0,1.6,2602.0
Bituminous,24.93,93.28,11.0,1.6,2325.0
Sub-bituminous,17.25,97.17,11.0,1.6,1676.0
Lignite,14.21,97.72,11.0,1.6,1389.0
Mixed (Commercial Sector),21.39,94.27,11.0,1.6,2016.0
Mixed (Electric Power Sector),19.73,95.52,11.0,1.6,1885.0
Mixed (Industrial Coking),26.28,93.9,11.0,1.6,2468.0
Mixed (Industrial Sector),22.35,94.67,11.0,1.6,2116.0
Coal Coke,24.8,113.67,11.0,1.6,2819.0
Municipal Solid Waste,9.95,90.7,32.0,4.2,902.0
Petroleum Coke (Solid),30.0,102.41,32.0,4.2,3072.0
Plastics,38.0,75.0,32.0,4.2,2850.0
Tires,28.0,85.97,32.0,4.2,2407.0
