subregion_code,subregion_name,co2_lb_per_mwh,ch4_lb_per_mwh,n2o_lb_per_mwh,co2_kg_per_kwh,co2e_kg_per_kwh
AKGD,ASCC Alaska Grid,899.003,0.086,0.012,0.407781,0.410315
AKMS,ASCC Miscellaneous,519.445,0.026,0.004,0.235616,0.236427
AZNM,WECC Southwest,740.81,0.041,0.006,0.336025,0.337267
CAMX,WECC California,436.655,0.025,0.003,0.198063,0.198741
ERCT,ERCOT All,738.038,0.043,0.006,0.334768,0.336035
FRCC,FRCC All,801.891,0.042,0.005,0.363731,0.364866
HIMS,HICC Miscellaneous,1122.117,0.146,0.022,0.508983,0.513482
HIOA,HICC Oahu,1489.362,0.134,0.021,0.675563,0.679789
MROE,MRO East,1402.005,0.116,0.017,0.635938,0.639455
MROW,MRO West,920.022,0.097,0.014,0.417315,0.420229
NEWE,NPCC New England,537.243,0.063,0.008,0.243689,0.245451
NWPP,WECC Northwest,631.705,0.054,0.008,0.286536,0.288184
NYCW,NPCC NYC/Westchester,974.656,0.025,0.003,0.442096,0.442774
NYLI,NPCC Long Island,1180.678,0.14,0.018,0.535546,0.539488
NYUP,NPCC Upstate NY,240.99,0.011,0.001,0.109311,0.109571
PRMS,Puerto Rico Miscellaneous,1542.952,0.077,0.012,0.699871,0.702291
RFCE,RFC East,594.74,0.036,0.005,0.269769,0.270828
RFCM,RFC Michigan,962.084,0.082,0.011,0.436394,0.438757
RFCW,RFC West,911.321,0.071,0.01,0.413368,0.415472
RMPA,WECC Rockies,1036.021,0.09,0.013,0.469931,0.472637
SPNO,SPP North,861.925,0.087,0.012,0.390962,0.39351
SPSO,SPP South,891.103,0.055,0.008,0.404197,0.405857
SRMV,SERC Mississippi Valley,739.415,0.032,0.004,0.335393,0.33628
SRMW,SERC Midwest,1238.311,0.132,0.019,0.561688,0.565648
SRSO,SERC South,840.893,0.055,0.008,0.381422,0.383082
SRTV,SERC Tennessee Valley,895.693,0.079,0.011,0.406279,0.408605
SRVC,SERC Virginia/Carolina,590.229,0.045,0.006,0.267723,0.269016
US Average,US Average,771.523,0.057,0.008,0.349957,0.351642
